Año,Variación_porcentual_Total_digital, Variación_porcentual_Comercio_al_por_mayor_digital,Variación_porcentual_Comercio_al_por_menor_digital,Variación_porcentual_Otros_servicios_digital,Variacion_Porcentual_Comercio_Al_Por_Menor
2014,1.9,-3.8,-7.3,5.2,2.2
2015,16.2,31.1,42.1,8.2,0.7
2016,11.1,21.8,19.8,5.7,-0.1
2017,9.2,8.8,18.2,7.5,2.4
2018,6.5,3.8,7.3,7.5,4.1
2019,2.1,-10.7,127.3,-20.3,-0.7
2020,3.8,21.8,22.7,-16.5,-8.4
2021R,10.6,1.6,-12.3,37.9,8.9
2022P,36.9,28.4,27.8,46.5,6.3
2023,,,,,4.1
2024,,,,,2.1
